frame_ordinal,frame_slot,config_revision,display_width,display_height,render_width,render_height,dlss_quality,wait_gpu_ms,frame_setup_ms,scene_ms,build_ms,compile_ms,prepare_ms,execute_ms,present_ms,total_ms,cpu_work_ms,classified_ms,unclassified_ms,scene_begin_upload_ms,scene_raster_extract_ms,scene_tlas_extract_ms,scene_bridge_ms,tlas_texture_collection_ms,post_scene_ms,graph_prelude_ms,ui_collect_ms,node_loop_ms,raster_packets,rt_packets,tlas_packets,submit_batches,record_tasks,execute_executor_setup_ms,execute_completed_gpu_timing_readback_ms,execute_timing_setup_ms,execute_per_frame_lookup_ms,execute_swapchain_acquire_ms,execute_deferred_prepare_ms,execute_task_plan_launch_ms,execute_primary_record_before_collect_ms,execute_record_completion_wait_ms,execute_primary_replay_barrier_timestamp_ms,execute_primary_end_and_submit_build_ms,execute_queue_submit_ms,execute_initial_release_record_submit_ms,execute_synthetic_present_record_submit_ms,execute_finalization_ms,execute_accounted_main_thread_ms,execute_unclassified_ms,execute_compiled_batches,execute_acquire_batches,execute_record_tasks,execute_replayed_secondary_command_buffers,execute_queue_submits,node_build_0_ms,node_build_1_ms,node_build_2_ms,node_build_3_ms,node_build_4_ms,node_build_5_ms,as_recorded,as_available,as_cache_scan_ms,as_metadata_plan_ms,as_cpu_writes_ms,as_tlas_sizing_ms,as_graph_declare_ms,as_packets,as_instances,as_dirty_blas
620,2,1,1920,1080,640,360,ultra-performance,0.001900000,0.024900000,0.213900000,0.497900000,0.012800000,0.134000000,0.914100000,0.289100000,2.259600000,2.257700000,2.088600000,0.171000000,0.004200000,0.022600000,0.012400000,0.174000000,0.168600000,0.168900000,0.062800000,0.002600000,0.430600000,84,0,103,3,7,0.001200000,0.002800000,0.001100000,0.003800000,0.002900000,0.000700000,0.636200000,0.021500000,0.055200000,0.022500000,0.008400000,0.140500000,0.000100000,0.000000000,0.007900000,0.904800000,0.009300000,3,1,7,7,3,,0.139800000,0.003000000,0.199700000,0.043100000,0.012000000,0.032700000,true,true,0.018300000,0.102100000,0.007700000,0.002500000,0.006100000,103,103,0
621,0,1,1920,1080,640,360,ultra-performance,0.002400000,0.021900000,0.175700000,0.467500000,0.012100000,0.102300000,0.781300000,0.165100000,1.906300000,1.903900000,1.728300000,0.178000000,0.003600000,0.020200000,0.011400000,0.140100000,0.173200000,0.173300000,0.056400000,0.002100000,0.407200000,84,0,103,3,7,0.001400000,0.002500000,0.001000000,0.003400000,0.002200000,0.000600000,0.622400000,0.011000000,0.022500000,0.006000000,0.003300000,0.097000000,0.000100000,0.000000000,0.003900000,0.777300000,0.004000000,3,1,7,7,3,,0.133100000,0.003100000,0.185000000,0.041200000,0.011500000,0.032900000,true,true,0.017100000,0.096800000,0.006100000,0.003500000,0.006600000,103,103,0
622,1,1,1920,1080,640,360,ultra-performance,0.001800000,0.018700000,0.179300000,0.451100000,0.011500000,0.097800000,0.670700000,0.165500000,1.766100000,1.764300000,1.596400000,0.169700000,0.003000000,0.016800000,0.009900000,0.149200000,0.168100000,0.168200000,0.053700000,0.002200000,0.393400000,84,0,103,3,7,0.001200000,0.002400000,0.001100000,0.003400000,0.002100000,0.000500000,0.453900000,0.015900000,0.060400000,0.011400000,0.004300000,0.105100000,0.000000000,0.000000000,0.004200000,0.665900000,0.004800000,3,1,7,7,3,,0.128900000,0.003000000,0.178300000,0.040100000,0.010400000,0.032000000,true,true,0.016500000,0.093800000,0.006200000,0.003100000,0.006300000,103,103,0
623,2,1,1920,1080,640,360,ultra-performance,0.001800000,0.022900000,0.169600000,0.458800000,0.011200000,0.100300000,0.938500000,0.168100000,2.107800000,2.106000000,1.871200000,0.236600000,0.003200000,0.017000000,0.009900000,0.139200000,0.234400000,0.234600000,0.056400000,0.002100000,0.398500000,84,0,103,3,7,0.001200000,0.002600000,0.001200000,0.003700000,0.003700000,0.000800000,0.582500000,0.020400000,0.050300000,0.018000000,0.005700000,0.234200000,0.000100000,0.000000000,0.005700000,0.930100000,0.008400000,3,1,7,7,3,,0.131000000,0.003000000,0.178000000,0.043600000,0.010600000,0.031900000,true,true,0.016600000,0.095400000,0.006100000,0.003700000,0.006200000,103,103,0
624,0,1,1920,1080,640,360,ultra-performance,0.002900000,0.019700000,0.182900000,0.478500000,0.011900000,0.094400000,0.751100000,0.171800000,1.887300000,1.884400000,1.713200000,0.174100000,0.003400000,0.023000000,0.012200000,0.143600000,0.171900000,0.172000000,0.056800000,0.002100000,0.417700000,84,0,103,3,7,0.001000000,0.002200000,0.001100000,0.003000000,0.002800000,0.000500000,0.534200000,0.013500000,0.071900000,0.007900000,0.004200000,0.099000000,0.000000000,0.000000000,0.004300000,0.745600000,0.005500000,3,1,7,7,3,,0.136400000,0.002700000,0.198000000,0.036900000,0.010800000,0.032400000,true,true,0.016200000,0.102700000,0.006700000,0.002500000,0.005500000,103,103,0
625,1,1,1920,1080,640,360,ultra-performance,0.001900000,0.016400000,0.171100000,0.615100000,0.012400000,0.100500000,0.780400000,0.157100000,2.094800000,2.092900000,1.854900000,0.239900000,0.003000000,0.017100000,0.009700000,0.140900000,0.238100000,0.238300000,0.086200000,0.002900000,0.523200000,84,0,103,3,7,0.001100000,0.002800000,0.001000000,0.003700000,0.002900000,0.000700000,0.530400000,0.016300000,0.090900000,0.012200000,0.004200000,0.101200000,0.000000000,0.000000000,0.005900000,0.773300000,0.007100000,3,1,7,7,3,,0.182000000,0.003800000,0.247100000,0.045200000,0.011200000,0.033400000,true,true,0.022500000,0.135300000,0.007500000,0.004500000,0.008100000,103,103,0
626,2,1,1920,1080,640,360,ultra-performance,0.001800000,0.024400000,0.214700000,0.485100000,0.011900000,0.098500000,0.799400000,0.173700000,1.978400000,1.976600000,1.809500000,0.168900000,0.004400000,0.020800000,0.010900000,0.178100000,0.167200000,0.167600000,0.061000000,0.002600000,0.419400000,84,0,103,3,7,0.001000000,0.002400000,0.001100000,0.003400000,0.003100000,0.000500000,0.549000000,0.017800000,0.078300000,0.016100000,0.005500000,0.108500000,0.000100000,0.000000000,0.005300000,0.792100000,0.007300000,3,1,7,7,3,,0.140400000,0.003000000,0.193400000,0.039600000,0.010500000,0.032200000,true,true,0.018100000,0.102100000,0.007600000,0.003200000,0.006100000,103,103,0
627,0,1,1920,1080,640,360,ultra-performance,0.002600000,0.022800000,0.259300000,0.557400000,0.012100000,0.105300000,0.668300000,0.157100000,2.012600000,2.010000000,1.784900000,0.227700000,0.004200000,0.023800000,0.012800000,0.218000000,0.226300000,0.226400000,0.081200000,0.002900000,0.471300000,84,0,103,3,7,0.001100000,0.002600000,0.001200000,0.003800000,0.002800000,0.000700000,0.498700000,0.015900000,0.029100000,0.009300000,0.004900000,0.088400000,0.000000000,0.000000000,0.005200000,0.663700000,0.004600000,3,1,7,7,3,,0.188400000,0.003300000,0.190900000,0.044700000,0.011200000,0.032500000,true,true,0.021600000,0.142400000,0.008100000,0.003800000,0.009100000,103,103,0
628,1,1,1920,1080,640,360,ultra-performance,0.001800000,0.018500000,0.169900000,0.570600000,0.012100000,0.104800000,0.957400000,0.403200000,2.435100000,2.433300000,2.238300000,0.196800000,0.003100000,0.016900000,0.009400000,0.140000000,0.193500000,0.193600000,0.055500000,0.002200000,0.511000000,84,0,103,3,7,0.001400000,0.002600000,0.001000000,0.003900000,0.008200000,0.001500000,0.655900000,0.031400000,0.065800000,0.015700000,0.006800000,0.140900000,0.000000000,0.000000000,0.011800000,0.946900000,0.010500000,3,1,7,7,3,,0.130100000,0.002800000,0.286900000,0.045600000,0.011400000,0.033800000,true,true,0.017000000,0.095500000,0.005900000,0.002900000,0.006100000,103,103,0
629,2,1,1920,1080,640,360,ultra-performance,0.002200000,0.022800000,0.173900000,0.471600000,0.011700000,0.110000000,0.845000000,0.149200000,2.012200000,2.010000000,1.786400000,0.225800000,0.003000000,0.019100000,0.011100000,0.140200000,0.224000000,0.224100000,0.055100000,0.002400000,0.412200000,84,0,103,3,7,0.001300000,0.002500000,0.001000000,0.003400000,0.003200000,0.000700000,0.603700000,0.018500000,0.095000000,0.011800000,0.004500000,0.086500000,0.000000000,0.000000000,0.006900000,0.839000000,0.006000000,3,1,7,7,3,,0.136800000,0.003100000,0.186900000,0.041300000,0.010900000,0.032700000,true,true,0.016800000,0.100900000,0.006200000,0.003500000,0.006400000,103,103,0
